variant,timestamp,aesthetic_impl,translator_mode,heritage_id,variant_index,intensity_level,level_name,controlnet_weight,palette_mode,layout,layout_label,layout_scale,layout_selected_by,layout_score,layout_ranking,polish_strength,seed,similarity_pattern_vs_ceramic,aesthetic_score,source_palette,n_edge_px,control_mode,positive_prompt,negative_prompt,steps,guidance,sd_model_id,controlnet_id,torch_version,diffusers_version,gpu,duration_s,pattern_path,design_path,sha256_design
BT_Hac_XP_V1,2026-09-06T08:19:36+00:00,clip_proxy_NOT_laion,not_used,BT_Hac_XP,1,1,Nguyên bản,0.85,original,side_stripe,Dải dọc lệch phải,1.0,clip_auto,0.0852,side_stripe:0.0852;shoulder:0.082;front_panel:0.0738;shoulder_hem:0.0727;center_medallion:0.0724;hem_band:0.0568;full_body:0.0446,0.4,42,0.9256,7.89,#99a1a8;#ccd5d8;#6b7177;#3f4551;#1d1d29,20092,ornament_only,"a flat decorative pattern inspired by Bat Trang peacock and lotus, featuring Blue and white peacocks and lotus flowers with fine gold detailing., hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,6.52,outputs/variants/BT_Hac_XP_V1_pattern.png,outputs/variants/BT_Hac_XP_V1_aodai.png,a112bbbc664db7e9
BT_Hac_XP_V2,2026-09-06T08:19:45+00:00,clip_proxy_NOT_laion,not_used,BT_Hac_XP,2,2,Gần nguyên bản,0.65,free,front_panel,Dải thân trước,0.95,clip_auto,0.0947,front_panel:0.0947;shoulder:0.0892;side_stripe:0.0871;shoulder_hem:0.081;hem_band:0.0766;full_body:0.0711;center_medallion:0.0699,0.4,42,0.9139,7.79,#99a1a8;#ccd5d8;#6b7177;#3f4551;#1d1d29,20092,ornament_only,"a flat decorative pattern inspired by Bat Trang peacock and lotus, featuring Blue and white peacocks and lotus flowers with fine gold detailing., hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.59,outputs/variants/BT_Hac_XP_V2_pattern.png,outputs/variants/BT_Hac_XP_V2_aodai.png,c608d5076af03279
BT_Hac_XP_V3,2026-09-06T08:19:54+00:00,clip_proxy_NOT_laion,not_used,BT_Hac_XP,3,3,Cân bằng,0.45,free,center_medallion,Ô giữa ngực,1.1,clip_auto,0.104,center_medallion:0.104;front_panel:0.0972;side_stripe:0.094;shoulder:0.0927;shoulder_hem:0.0882;hem_band:0.0812;full_body:0.074,0.4,42,0.7727,8.13,#99a1a8;#ccd5d8;#6b7177;#3f4551;#1d1d29,20092,ornament_only,"a flat decorative pattern inspired by Bat Trang peacock and lotus, featuring Blue and white peacocks and lotus flowers with fine gold detailing., modern simplified interpretation, hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.59,outputs/variants/BT_Hac_XP_V3_pattern.png,outputs/variants/BT_Hac_XP_V3_aodai.png,c5cd320a61b0ad93
BT_Hac_XP_V4,2026-09-06T08:20:03+00:00,clip_proxy_NOT_laion,not_used,BT_Hac_XP,4,4,Tự do sáng tạo,0.25,free,shoulder,Vai và ngực,0.85,clip_auto,0.0998,front_panel:0.1003;center_medallion:0.1003;shoulder:0.0998;shoulder_hem:0.0894;side_stripe:0.0845;full_body:0.0836;hem_band:0.0805,0.4,42,0.6694,8.48,#99a1a8;#ccd5d8;#6b7177;#3f4551;#1d1d29,20092,ornament_only,"a flat decorative pattern inspired by Bat Trang peacock and lotus, featuring Blue and white peacocks and lotus flowers with fine gold detailing., bold contemporary reinterpretation, hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.58,outputs/variants/BT_Hac_XP_V4_pattern.png,outputs/variants/BT_Hac_XP_V4_aodai.png,5b85df30f79822e5
BHV_UU_XP1-600x600_V1,2026-09-06T08:20:42+00:00,clip_proxy_NOT_laion,not_used,BHV_UU_XP1-600x600,1,1,Nguyên bản,0.85,original,shoulder_hem,Vai kết hợp gấu tà,0.78,clip_auto,0.0934,shoulder_hem:0.0934;center_medallion:0.0932;shoulder:0.0909;full_body:0.0889;hem_band:0.0871;front_panel:0.0854;side_stripe:0.0825,0.4,42,0.7722,8.41,#392a17;#886a41;#d8bd54;#cac6c4;#30598a,31000,ornament_only,"a flat decorative pattern inspired by Bat Trang peacocks and blossoms, featuring Peacocks, blooming pink flowers, and blue waves on vibrant yellow ground., hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,6.47,outputs/variants/BHV_UU_XP1-600x600_V1_pattern.png,outputs/variants/BHV_UU_XP1-600x600_V1_aodai.png,e24065e84da4dcb3
BHV_UU_XP1-600x600_V2,2026-09-06T08:20:51+00:00,clip_proxy_NOT_laion,not_used,BHV_UU_XP1-600x600,2,2,Gần nguyên bản,0.65,free,center_medallion,Ô giữa ngực,1.1,clip_auto,0.0951,center_medallion:0.0951;front_panel:0.0925;shoulder_hem:0.0896;shoulder:0.0894;side_stripe:0.0881;hem_band:0.0834;full_body:0.0811,0.4,42,0.6552,8.03,#392a17;#886a41;#d8bd54;#cac6c4;#30598a,31000,ornament_only,"a flat decorative pattern inspired by Bat Trang peacocks and blossoms, featuring Peacocks, blooming pink flowers, and blue waves on vibrant yellow ground., hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.63,outputs/variants/BHV_UU_XP1-600x600_V2_pattern.png,outputs/variants/BHV_UU_XP1-600x600_V2_aodai.png,8c80471a418371c8
BHV_UU_XP1-600x600_V3,2026-09-06T08:21:00+00:00,clip_proxy_NOT_laion,not_used,BHV_UU_XP1-600x600,3,3,Cân bằng,0.45,free,shoulder,Vai và ngực,0.85,clip_auto,0.0907,center_medallion:0.0931;shoulder:0.0907;front_panel:0.0879;shoulder_hem:0.0876;side_stripe:0.0827;hem_band:0.0825;full_body:0.0774,0.4,42,0.7387,8.32,#392a17;#886a41;#d8bd54;#cac6c4;#30598a,31000,ornament_only,"a flat decorative pattern inspired by Bat Trang peacocks and blossoms, featuring Peacocks, blooming pink flowers, and blue waves on vibrant yellow ground., modern simplified interpretation, hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.59,outputs/variants/BHV_UU_XP1-600x600_V3_pattern.png,outputs/variants/BHV_UU_XP1-600x600_V3_aodai.png,2e6945740a2fad40
BHV_UU_XP1-600x600_V4,2026-09-06T08:21:09+00:00,clip_proxy_NOT_laion,not_used,BHV_UU_XP1-600x600,4,4,Tự do sáng tạo,0.25,free,front_panel,Dải thân trước,0.95,clip_auto,0.0898,center_medallion:0.0959;shoulder_hem:0.0917;front_panel:0.0898;shoulder:0.0886;side_stripe:0.085;hem_band:0.0813;full_body:0.0803,0.4,42,0.764,8.43,#392a17;#886a41;#d8bd54;#cac6c4;#30598a,31000,ornament_only,"a flat decorative pattern inspired by Bat Trang peacocks and blossoms, featuring Peacocks, blooming pink flowers, and blue waves on vibrant yellow ground., bold contemporary reinterpretation, hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.59,outputs/variants/BHV_UU_XP1-600x600_V4_pattern.png,outputs/variants/BHV_UU_XP1-600x600_V4_aodai.png,0da661baad7cf30c
MB_2C_XP_31_V1,2026-09-06T08:21:49+00:00,clip_proxy_NOT_laion,not_used,MB_2C_XP_31,1,1,Nguyên bản,0.85,original,center_medallion,Ô giữa ngực,1.1,clip_auto,0.0938,center_medallion:0.0938;shoulder:0.0905;shoulder_hem:0.09;hem_band:0.078;side_stripe:0.0705;front_panel:0.0686;full_body:0.0631,0.4,42,0.6677,7.82,#2d2927;#d6d7d5;#70808c;#e1cb53;#8a6e2f,23838,ornament_only,"a flat decorative pattern inspired by Bat Trang ship and waves, featuring Blue sailing ship on rolling ocean waves with yellow floral background., hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,6.48,outputs/variants/MB_2C_XP_31_V1_pattern.png,outputs/variants/MB_2C_XP_31_V1_aodai.png,de7ec2b3a06a1577
MB_2C_XP_31_V2,2026-09-06T08:21:58+00:00,clip_proxy_NOT_laion,not_used,MB_2C_XP_31,2,2,Gần nguyên bản,0.65,free,shoulder_hem,Vai kết hợp gấu tà,0.78,clip_auto,0.0887,shoulder_hem:0.0887;shoulder:0.0885;center_medallion:0.0861;hem_band:0.0821;front_panel:0.0768;side_stripe:0.0706;full_body:0.058,0.4,42,0.7199,7.94,#2d2927;#d6d7d5;#70808c;#e1cb53;#8a6e2f,23838,ornament_only,"a flat decorative pattern inspired by Bat Trang ship and waves, featuring Blue sailing ship on rolling ocean waves with yellow floral background., hand-painted ceramic enamel style, bold outline linework, asymmetric composition, seamless repeating pattern.","vase, pot, jar, vessel, bottle, ceramic object, 3d render, photograph, person, mannequin, garment, kaleidoscope, mandala, mirror symmetry, radial symmetry, neon colors, oversaturated, blurry, low quality, watermark, text, distorted",25,7.5,stable-diffusion-v1-5/stable-diffusion-v1-5,lllyasviel/control_v11p_sd15_canny,2.13.0+cu126,0.40.0,NVIDIA GeForce RTX 4060 Laptop GPU 8GB,5.61,outputs/variants/MB_2C_XP_31_V2_pattern.png,outputs/variants/MB_2C_XP_31_V2_aodai.png,e38ec9dd31a2950a
